date,A00021,A00034,A00047,A00100,A00267,A00286,A00422,A00438,A00458,A00459,A00460,A00461,A00463,A00473,A00474,A00482,A00486,A00491,A00492,A00493,A00495,A00497,A00499,A00500,A00506,A00513,A00519,A00520,A00537,A00539,A00540,A00541,A00542
20150101,112364,125718,16923,134787,147540,142345,105015,158236,78986,192951,259422,240338,3277,69747,114114,42511,0,22936,253053,5254,5608,141128,17388,13358,214962,0,0,0,0,0,0,0,0
20150201,97947,57141,33263,92660,88898,82702,75111,69498,60792,135683,143107,168357,7554,31756,255073,47131,0,14163,88322,9858,3594,86396,121156,113760,86036,1440,0,0,0,0,0,0,0
20150301,136278,73307,19626,100360,112343,141524,103159,124023,65898,186426,220228,229643,8758,28011,125355,68517,0,21743,60958,3400,7575,185519,75626,96692,138600,2160,0,0,0,0,0,0,0
20150401,201142,80582,17589,79084,274493,71308,132374,147167,56368,248779,209050,302990,3704,15689,357511,66630,0,12265,101058,4837,7571,163441,74624,83591,136690,2280,0,0,0,0,0,0,0
20150501,177173,87974,15625,82681,211955,56161,118451,155335,56981,206529,157918,288446,2586,35805,206152,59915,41682,8973,76614,9369,3826,141779,313635,386758,102225,2040,0,0,0,0,0,0,0
20150601,112720,30395,11406,50063,96843,83964,52258,68270,56579,153371,131335,203548,6125,84840,225663,66820,126267,7626,151946,9651,2885,141568,210729,213666,79340,2040,0,0,0,0,0,0,0
20150701,109285,41585,21202,101693,102259,208243,78565,75244,83965,184920,118552,228467,11566,5819,264286,86483,71476,11797,59181,32182,10518,104948,62191,45626,68927,1440,0,0,0,0,0,0,0
20150801,89118,69441,33756,99202,155347,108360,84326,190031,87429,163040,83664,214041,6857,0,283653,66381,141987,14186,56319,21597,15537,79031,63505,63833,150366,16480,25424,0,0,0,0,0,0
